Zip code,Latitude,Longitude,Number of Level 2 chargers
49630,44.90402888,-85.84656145,6
48872,42.59660793,-83.9348754,3
48872,42.6103616,-83.9397711,1
48872,42.65527485,-84.082744,2
49701,46.34644062,-85.50741178,17
49701,46.63735513,-85.56095432,23
49701,46.0948008,-85.77198838,9
49701,46.06372193,-85.0515062,6
49701,46.09280215,-85.28192173,5
49701,46.15092968,-85.07751135,6
49701,46.00416198,-84.90704834,17
49701,45.9944086,-84.53077125,6
48502,42.8063317,-83.01758155,2
48502,42.8952479,-82.7692019,1
49660,44.2764816,-86.0617828,1
49660,44.50376543,-86.23311393,5
49668,44.49664906,-85.96898324,10
49689,44.2750833,-85.98113386,6
49630,46.4754028,-87.96100425,5
49630,46.82262883,-87.707188,10
49630,46.5278165,-88.0259737,4
49630,46.64460243,-87.79027303,4
49630,46.41469012,-88.03927818,16
49630,46.472723,-87.5970459,2
49630,46.4114787,-87.28151957,4
49630,46.0814819,-87.49988175,2
49431,43.95551774,-86.4425295,4
49660,44.0848808,-86.3910217,4
49660,44.13705635,-86.11066055,2
49454,44.04264395,-86.12243225,8
49454,43.83322068,-86.08049012,7
49307,43.80178577,-85.15809377,4
49630,45.46194884,-87.3202291,12
49630,45.5034294,-87.4390335,3
49630,45.2489714,-87.53037,2
48657,43.8118126,-84.3715842,1
48611,43.7200376,-84.200724,1
48657,43.6107597,-84.4564133,1
48657,43.5304669,-84.4485863,1
49651,44.472229,-84.97110365,2
48629,44.26148985,-84.8942337,2
49267,41.9169779,-83.39609125,2
49267,41.926464,-83.364944,1
49267,41.9021884,-83.3599049,1
49267,41.87405426,-83.39308787,10
49267,41.74067288,-83.54159692,7
48811,43.1773002,-84.8449508,1
49444,43.23549507,-86.25589787,1
49444,43.25584115,-86.247087,2
49444,43.2230021,-86.2279592,1
49444,43.226055,-86.2749194,1
49444,43.2223101,-86.31150125,2
49461,43.37981735,-86.42182578,5
49461,43.39782646,-86.34935289,6
49461,43.40944827,-86.31455138,8
49461,43.3541016,-86.413601,1
49461,43.2754268,-86.35877795,8
49444,43.2800428,-86.2623452,1
49444,43.2726795,-86.259122,1
49444,43.2603464,-86.1108181,1
49677,43.78830333,-85.8359592,4
49454,43.6446915,-85.9698257,1
49307,43.70718823,-85.8453598,5
49307,43.6918662,-85.6278016,1
49307,43.592568,-85.6440045,2
48507,42.636753,-83.278683,1
48507,42.79047267,-83.62507563,4
48507,42.6304071,-83.6060108,1
49461,43.5671368,-86.4888802,2
49431,43.67186307,-86.48026665,35
49461,43.57076397,-86.0941759,4
49461,43.509519,-86.0854602,2
48661,44.50840713,-84.12568747,4
48661,44.4005043,-84.2814333,1
49630,46.86370012,-89.34692572,21
49630,46.81801841,-89.59649231,27
49630,46.57082997,-89.60839215,17
49630,46.7605121,-89.080783,1
49630,46.7331696,-89.1801224,4
49630,46.56099895,-89.1769829,3
49630,46.55064395,-89.29416275,3
49630,46.4304652,-89.17091331,10
49630,46.4871709,-88.9507753,1
49601,44.1020255,-85.52118307,4
49677,43.95521515,-85.36720165,2
48737,44.79732443,-84.0291119,4
49738,44.74935852,-84.29543197,8
49735,45.114212,-84.595192,2
49735,44.98044333,-84.52526603,4
49453,42.77606675,-86.10712345,2
49456,43.11800513,-86.25136313,4
49456,43.083239,-86.234923,1
49428,42.895154,-85.941829,1
49453,42.76807665,-86.1771564,2
49779,45.4457226,-84.217605,1
49779,45.4511585,-84.107504,1
49779,45.3020428,-83.9889239,1
49779,45.3160315,-83.5662563,1
48629,44.47597866,-84.76425974,6
48629,44.36734198,-84.7924192,11
48602,43.4370568,-83.9881078,1
48602,43.41539215,-84.07691035,2
48602,43.4796585,-83.9430369,1
48602,43.4176763,-83.8942644,1
48602,43.2808446,-84.1515723,1
48602,43.3360037,-83.9531935,1
48722,43.3813936,-83.89756675,3
48867,43.1856689,-84.1189499,1
49701,46.2621276,-86.44208808,7
49701,46.47661487,-85.95659927,4
49701,46.24843617,-85.92145352,26
49701,46.03571931,-85.95335102,16
48867,42.9971233,-84.1682482,1
48502,43.00275635,-82.4405773,2
48502,43.0824155,-82.4734781,1
48502,43.133125,-82.7983962,3
48502,43.13216664,-82.4938577,7
48502,42.989111,-82.766031,1
48502,42.6884475,-82.70451655,5
48502,42.6157611,-82.5334261,1
48502,42.72262988,-82.4919454,5
48502,42.6665906,-82.5149342,1
49009,42.21688753,-85.89278228,16
49009,42.2147885,-85.9199132,1
49221,42.2630997,-83.7558899,1
49221,42.2670487,-83.6895568,1
49221,42.2586124,-83.71221265,3
49221,42.2542945,-83.6870893,1
49202,42.3779203,-84.0663235,2
49221,42.1599753,-84.0203784,1
49221,42.2418224,-83.6003214,1
49267,42.09583605,-83.6769442,2
48507,42.4310609,-83.0392056,1
49267,42.2911056,-83.3206294,1
49267,42.3508542,-83.1860198,1
49668,44.4200592,-85.6793213,1
